Name,Ticker,Exchange,BE - Monthly 2004-12,Daily Closing Price 2004-12-31 USD,Market Cap - Monthly 2004-12 ,C/P - Daily 2004-12-31,E/P - Daily 2004-12-31,EBITDA/P- Daily 2004-12-31,FCF/P - Daily 2004-12-31,S/P - Daily 2004-12-31,Yearly Return Year  2005
HSBC Finance Corp 6 7/8 % Notes 2003-30.1.33 Sr,HTB,"NEW YORK STOCK EXCHANGE, INC.",,27.07,,,,,,,-0.045807065
HSBC Finance Corp Pref Share,HSBCPRB,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,0.022510574
HSBC Holdings PLC ADR,HBC,"NEW YORK STOCK EXCHANGE, INC.",86622911218,85.14,1.90238E+11,0.187818152,0.061075864,,,,-0.013340976
HSBC Holdings PLC Pref Share,HBCPRA,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,0.008827385
HSBC Holdings PLC Pref Share,HCS,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
HSBC USA Inc Pref Share,HBAPRF,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,0.057867182
HSBC USA Inc Pref Share,HBAPRG,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,0.031646951
HSBC USA Inc Pref Share,HBAPRD,"NEW YORK STOCK EXCHANGE, INC.",,26.15,,,,,,,-0.014289083
HSBC USA Inc Pref Share,HBAPRZ,"NEW YORK STOCK EXCHANGE, INC.",,53.50,,,,,,,-0.019219814
HSBC USA Inc Pref Share,HBAPRH,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
Huaneng Power International Inc. ADR,HNP,"NEW YORK STOCK EXCHANGE, INC.",4380866065,30.02,9047565271,0.127124893,0.072438887,,0.079030017,0.371463022,-0.09223885
"Hub International, Ltd.",HBG,"NEW YORK STOCK EXCHANGE, INC.",381784139.5,18.41,562453667,0.065116758,0.054861497,0.11184375,,0.526492303,0.417115016
"Hubbell, Inc. A",HUB.A,"NEW YORK STOCK EXCHANGE, INC.",944300502.4,48.36,2945476447,0.067345736,0.047973526,0.071533726,0.05498439,0.654476389,-0.118939981
"Hubbell, Inc. B",HUB.B,"NEW YORK STOCK EXCHANGE, INC.",944300502.4,52.30,3185451162,0.062272278,0.044359471,0.066144784,0.050842149,0.605171554,-0.112621909
"HudBay Minerals, Inc.",HBM,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
"Hudson Pacific Properties, Inc.",HPP,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
"Hudson Pacific Properties, Inc. Pref Share",HPPPRB,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
Hudson United Bancorp,HU,"NEW YORK STOCK EXCHANGE, INC.",531651890.8,39.38,1770254968,0.07414212,0.067546984,,,0.270260921,0.058405285
Hudson Valley Holding Corp,HVB,"NEW YORK STOCK EXCHANGE, INC.",159662577.5,35.97,514479518,0.061149588,0.050353963,,,0.142465647,-0.113978541
"Hughes Supply, Inc.",HUG,"NEW YORK STOCK EXCHANGE, INC.",1233001650,32.35,2138814297,0.059085452,0.057032475,0.126543947,0.048026657,2.158778132,0.120136299
Hugoton Royalty Trust,HGT,"NEW YORK STOCK EXCHANGE, INC.",182552000,26.20,1048000000,0.08475704,0.075072539,,,0.075423313,0.569711273
Humana,HUM,"NEW YORK STOCK EXCHANGE, INC.",2090122366,29.69,4732815711,0.127229733,0.061636929,0.12032814,,2.683785641,0.829908913
Huntington Ingalls Industries Inc,HII,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
Huntsman Corporation,HUN,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,-0.397058839
Huntsman Corporation Pref Share,HUNPR,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
"Hutchison Telecommunications International, Ltd. ADR",HTX,"NEW YORK STOCK EXCHANGE, INC.",1779990000,13.55,4065000000,,-0.015300976,,,0.446731711,0.59335787
Hyatt Hotels Corporation,H,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
Hypercom Corporation,HYC,"NEW YORK STOCK EXCHANGE, INC.",205371065,5.92,307524144,0.048234567,-0.028716216,0.004133077,0.032485452,0.796472582,0.079391971
HyperDynamics Corporation,HDY,"NEW YORK STOCK EXCHANGE, INC.",4127654.878,3.15,130805964,-0.016375958,0.006349206,0.005184721,-0.034846071,,-0.466666664
Iamgold Corp,IAG,"NEW YORK STOCK EXCHANGE, INC.",391748999.8,6.65,969314945,0.022934128,0.007518797,0.027437055,0.013894327,0.127655848,0.184947313
Iasis Healthcare Corporation,IAS,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
Icahn Enterprises LP Pref Share,IEPPR,"NEW YORK STOCK EXCHANGE, INC.",,7.40,,,,,,,0.084718774
ICICI Bank Ltd ADR,IBN,"NEW YORK STOCK EXCHANGE, INC.",,20.15,12420296885,-0.029150593,0.022979256,,0.001094295,,0.453244505
"Idacorp, Inc.",IDA,"NEW YORK STOCK EXCHANGE, INC.",1008284658,30.57,1167530112,0.179394465,0.053647378,0.1240662,0.010987721,0.700805716,-0.001395502
Idex Corporation,IEX,"NEW YORK STOCK EXCHANGE, INC.",713606048.3,27.00,2050570269,0.055375125,0.038270363,0.066603438,0.045070463,0.423371818,0.027379147
IDT Corporation,IDT.C,"NEW YORK STOCK EXCHANGE, INC.",997511024.8,44.04,1415675268,0.058019751,-0.023616409,-0.010384206,-0.015010796,1.745587591,-0.212534268
IDT Corporation B,IDT,"NEW YORK STOCK EXCHANGE, INC.",997511024.8,26.09,838730988,0.097930244,-0.067183487,-0.017527267,-0.025336385,2.946341233,-0.244186093
IFM Investments Ltd ADR,CTC,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
"IHS, Inc. A",IHS,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,0.0654206
"Ikon Office Solutions, Inc.",IKN,"NEW YORK STOCK EXCHANGE, INC.",1765091689,11.56,1629527933,-0.213868884,0.051903105,0.200589533,-0.266557769,2.636039404,-0.085113728
Illinois Tool Works Inc,ITW,"NEW YORK STOCK EXCHANGE, INC.",7627620633,46.34,27404554204,0.057105526,0.044454027,0.07104927,0.047529376,0.396263238,-0.036858938
"Imagistics International, Inc.",IGI,"NEW YORK STOCK EXCHANGE, INC.",277043721.1,33.66,549205614,0.098356463,0.041889484,0.198718662,0.073766005,1.084806953,0.248069112
Imation Corporation,IMN,"NEW YORK STOCK EXCHANGE, INC.",786801301.7,31.83,1082641747,0.069844352,0.054979583,0.078030632,0.026561758,1.069001937,0.463911201
Imax Corporation,IMAX,"NEW YORK STOCK EXCHANGE, INC.",-42374236.2,8.25,324313485,0.000236653,0.007273611,0.08729256,-0.004844433,0.54549511,-0.144138603
"IMC Global, Inc.",IGL,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,0
"Imperial Capital Group, Inc.",ICG,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
"Imperial Holdings, Inc.",IFT,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
Imperva Inc,IMPV,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
"IMS Health, Inc",RX,"NEW YORK STOCK EXCHANGE, INC.",255704751.3,23.21,5383624163,0.066927909,0.049978459,0.095811321,0.062182481,0.270144252,0.077169584
Independence Holding Company,IHC,"NEW YORK STOCK EXCHANGE, INC.",188853395.8,16.77,260541586,0.191488746,0.080943084,0.114814557,,0.828111401,0.062437429
Indiana Michigan Power Co 6 % Notes 2002-31.12.32 Sr Series D,IJD,"NEW YORK STOCK EXCHANGE, INC.",,25.64,,,,,,,-0.015600715
Industrial Distribution,IG001DA068,"NEW YORK STOCK EXCHANGE, INC.",8859112627,109.46,27125417455,,,,,,0.105583447
Industrial Metals & Minerals,IG001DA069,"NEW YORK STOCK EXCHANGE, INC.",50217632035,29.13,1.5573E+11,0.008420755,,0.026950655,0.003736695,0.150636031,0.439744782
Industrie Natuzzi ADR,NTZ,"NEW YORK STOCK EXCHANGE, INC.",660953242.1,10.85,593295663,0.192207892,0.071445157,0.10888906,0.075133738,1.758430355,-0.348543985
Inergy Holdings L.P.,NRGP,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,0.329947125
Inergy Midstream LP,NRGM,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
"Inergy, L.P.",NRGY,"NEW YORK STOCK EXCHANGE, INC.",461433262.3,28.75,754821043,0.050777222,-0.00904348,0.069010969,0.027847249,0.761904762,-0.034937564
Infonet Services Corporation,IN,"NEW YORK STOCK EXCHANGE, INC.",795513346,2.02,945757729,0.055396567,-0.059405952,-0.060389172,-0.001864754,0.682420107,0.014851535
"Information Holdings, Inc.",IHI,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,0
